"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",13366973,13367280,308,"*","SRR11392448_bam_peak_22",11,".",3.45392,4.10422,1.13537,"Intron (ENSMUST00000081713.10/17978, intron 1 of 21)",1,13182284,13372429,190146,2,"17978","ENSMUST00000139970.7",5149,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2"
"chr1",13372072,13374622,2551,"*","SRR11392448_bam_peak_23",23,".",2.48198,5.78488,2.34637,"Promoter (<=1kb)",1,13139105,13372439,233335,2,"17978","ENSMUST00000081713.10",0,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2"
"chr1",13589345,13589592,248,"*","SRR11392448_bam_peak_24",14,".",2.30014,4.57468,1.47272,"Promoter (<=1kb)",1,13578118,13589875,11758,2,"72265","ENSMUST00000188377.1",283,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13660158,13660504,347,"*","SRR11392448_bam_peak_25",16,".",2.28871,4.82902,1.65552,"Promoter (<=1kb)",1,13623330,13660546,37217,2,"212442","ENSMUST00000027071.6",42,"ENSMUSG00000025937","Lactb2","lactamase, beta 2"
"chr1",14309754,14310000,247,"*","SRR11392448_bam_peak_26",35,".",2.9554,7.51142,3.5899,"Promoter (<=1kb)",1,14270775,14309836,39062,2,"14048","ENSMUST00000187790.1",0,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1"
"chr1",14755191,14756205,1015,"*","SRR11392448_bam_peak_27",19,".",2.70311,5.20301,1.92466,"Promoter (<=1kb)",1,14753346,14755990,2645,2,"17681","ENSMUST00000027062.6",0,"ENSMUSG00000025930","Msc","musculin"
"chr1",15286507,15286935,429,"*","SRR11392448_bam_peak_28",15,".",2.43751,4.68661,1.55307,"Promoter (<=1kb)",1,15287254,15712548,425295,1,"98741","ENSMUST00000175681.2",-319,"ENSMUSG00000092083","Kcnb2","potassium voltage gated channel, Shab-related subfamily, member 2"
"chr1",15287747,15288312,566,"*","SRR11392448_bam_peak_29",19,".",3.12512,5.2779,1.97895,"Promoter (<=1kb)",1,15287254,15712548,425295,1,"98741","ENSMUST00000175681.2",493,"ENSMUSG00000092083","Kcnb2","potassium voltage gated channel, Shab-related subfamily, member 2"
"chr1",15805738,15806004,267,"*","SRR11392448_bam_peak_30",11,".",2.18384,4.08259,1.1193,"Promoter (<=1kb)",1,15805664,15843470,37807,1,"21749","ENSMUST00000027057.7",74,"ENSMUSG00000025925","Terf1","telomeric repeat binding factor 1"
"chr1",16103595,16104237,643,"*","SRR11392448_bam_peak_31",22,".",2.67894,5.72191,2.29895,"Promoter (<=1kb)",1,16101780,16104227,2448,2,"19989","ENSMUST00000149566.1",0,"ENSMUSG00000043716","Rpl7","ribosomal protein L7"
"chr1",16518725,16519118,394,"*","SRR11392448_bam_peak_32",15,".",2.31336,4.67843,1.5473,"Promoter (<=1kb)",1,16343407,16519211,175805,2,"29819","ENSMUST00000159558.7",93,"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16519554,16519961,408,"*","SRR11392448_bam_peak_33",13,".",2.26043,4.44255,1.37735,"Promoter (<=1kb)",1,16460213,16520020,59808,2,"29819","ENSMUST00000144138.3",59,"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16618845,16619233,389,"*","SRR11392448_bam_peak_34",21,".",2.49941,5.47062,2.11803,"Promoter (<=1kb)",1,16581936,16619259,37324,2,"66799","ENSMUST00000133639.1",26,"ENSMUSG00000025939","Ube2w","ubiquitin-conjugating enzyme E2W (putative)"
"chr1",16665239,16665683,445,"*","SRR11392448_bam_peak_35",26,".",2.45132,6.16286,2.61606,"Promoter (<=1kb)",1,16665236,16665811,576,1,"70397","ENSMUST00000176451.1",3,"ENSMUSG00000025940","Tmem70","transmembrane protein 70"
"chr1",17145403,17145935,533,"*","SRR11392448_bam_peak_36",24,".",2.73563,5.93543,2.45335,"Promoter (<=1kb)",1,17145404,17158744,13341,1,"14545","ENSMUST00000150457.1",0,"ENSMUSG00000025777","Gdap1","ganglioside-induced differentiation-associated-protein 1"
"chr1",18058523,18058901,379,"*","SRR11392448_bam_peak_37",24,".",2.83344,5.88421,2.41674,"Exon (ENSMUST00000209405.1/ENSMUST00000209405.1, exon 1 of 4)",1,18115204,18137051,21848,2,"78081","ENSMUST00000115340.7",78150,"ENSMUSG00000025774","Crisp4","cysteine-rich secretory protein 4"
"chr1",20890653,20891529,877,"*","SRR11392448_bam_peak_38",15,".",2.21997,4.6144,1.50045,"Promoter (<=1kb)",1,20890606,20939650,49045,1,"74229","ENSMUST00000189400.6",47,"ENSMUSG00000025931","Paqr8","progestin and adipoQ receptor family member VIII"
"chr1",20951300,20952036,737,"*","SRR11392448_bam_peak_39",26,".",2.664,6.20588,2.64673,"Promoter (<=1kb)",1,20951626,20955527,3902,1,"71877","ENSMUST00000160782.1",0,"ENSMUSG00000041809","Efhc1","EF-hand domain (C-terminal) containing 1"
"chr1",21079024,21079825,802,"*","SRR11392448_bam_peak_40",24,".",2.72639,5.97262,2.47962,"Promoter (<=1kb)",1,20996299,21079229,82931,2,"170829","ENSMUST00000037998.5",0,"ENSMUSG00000041779","Tram2","translocating chain-associating membrane protein 2"
"chr1",21218579,21219054,476,"*","SRR11392448_bam_peak_41",30,".",2.72687,6.6985,3.00245,"Promoter (<=1kb)",1,21218662,21230164,11503,1,"75712","ENSMUST00000027064.7",0,"ENSMUSG00000025933","Tmem14a","transmembrane protein 14A"
"chr1",21962211,21962583,373,"*","SRR11392448_bam_peak_42",16,".",2.825,4.85129,1.67296,"Promoter (<=1kb)",1,21398408,21961942,563535,2,"226922","ENSMUST00000115300.7",-269,"ENSMUSG00000028033","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
"chr1",23256289,23256636,348,"*","SRR11392448_bam_peak_43",22,".",2.67225,5.69103,2.27684,"Exon (ENSMUST00000193885.1/ENSMUST00000193885.1, exon 1 of 1)",1,23272269,23272339,71,1,"387225","ENSMUST00000083471.3",-15633,"ENSMUSG00000065405","Mir30a","microRNA 30a"
"chr1",23762184,23763310,1127,"*","SRR11392448_bam_peak_44",18,".",2.73607,5.12532,1.86949,"Promoter (<=1kb)",1,23762011,23815739,53729,1,"280645","ENSMUST00000140583.1",173,"ENSMUSG00000026156","B3gat2","beta-1,3-glucuronyltransferase 2"
"chr1",23921778,23922291,514,"*","SRR11392448_bam_peak_45",22,".",2.53856,5.61343,2.22156,"Promoter (<=1kb)",1,23845625,23922317,76693,2,"98366","ENSMUST00000027339.13",26,"ENSMUSG00000026155","Smap1","small ArfGAP 1"
"chr1",24005298,24005558,261,"*","SRR11392448_bam_peak_46",16,".",2.17412,4.84594,1.66793,"Promoter (<=1kb)",1,24002966,24005630,2665,2,"68002","ENSMUST00000155767.2",72,"ENSMUSG00000026154","Sdhaf4","succinate dehydrogenase complex assembly factor 4"
"chr1",24099709,24100790,1082,"*","SRR11392448_bam_peak_47",18,".",2.38257,5.0911,1.84418,"Promoter (<=1kb)",1,24011245,24100194,88950,2,"68187","ENSMUST00000187752.6",0,"ENSMUSG00000026153","Fam135a","family with sequence similarity 135, member A"
"chr1",25828187,25828418,232,"*","SRR11392448_bam_peak_48",14,".",2.59165,4.54594,1.45204,"Promoter (1-2kb)",1,25067550,25829511,761962,2,"210933","ENSMUST00000135518.7",1093,"ENSMUSG00000033569","Adgrb3","adhesion G protein-coupled receptor B3"
"chr1",25828878,25829974,1097,"*","SRR11392448_bam_peak_49",20,".",2.60379,5.34658,2.02714,"Promoter (<=1kb)",1,25067550,25829511,761962,2,"210933","ENSMUST00000135518.7",0,"ENSMUSG00000033569","Adgrb3","adhesion G protein-coupled receptor B3"
"chr1",30949116,30949326,211,"*","SRR11392448_bam_peak_50",20,".",2.38141,5.37292,2.04717,"Promoter (<=1kb)",1,30940302,30949309,9008,2,"19243","ENSMUST00000232841.1",0,"ENSMUSG00000026064","Ptp4a1","protein tyrosine phosphatase 4a1"
"chr1",32172826,32173256,431,"*","SRR11392448_bam_peak_51",23,".",2.57476,5.79987,2.35425,"Promoter (<=1kb)",1,32172887,32311090,138204,1,"170771","ENSMUST00000185666.1",0,"ENSMUSG00000026058","Khdrbs2","KH domain containing, RNA binding, signal transduction associated 2"
"chr1",33813997,33814401,405,"*","SRR11392448_bam_peak_52",26,".",2.36766,6.20445,2.64767,"Promoter (<=1kb)",1,33761545,33814385,52841,2,"98403","ENSMUST00000139143.7",0,"ENSMUSG00000042197","Zfp451","zinc finger protein 451"
"chr1",33908240,33908519,280,"*","SRR11392448_bam_peak_53",16,".",2.40893,4.81755,1.64711,"Promoter (<=1kb)",1,33908225,34307592,399368,1,"13518","ENSMUST00000183034.4",15,"ENSMUSG00000026131","Dst","dystonin"
"chr1",34005980,34006499,520,"*","SRR11392448_bam_peak_54",21,".",2.50114,5.52802,2.15847,"Promoter (<=1kb)",1,34006126,34137136,131011,1,"13518","ENSMUST00000182314.7",0,"ENSMUSG00000026131","Dst","dystonin"
"chr1",34459466,34459934,469,"*","SRR11392448_bam_peak_55",22,".",2.6177,5.68183,2.26994,"Promoter (<=1kb)",1,34459765,34473784,14020,1,"19253","ENSMUST00000027302.13",0,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"chr1",34579341,34580310,970,"*","SRR11392448_bam_peak_56",16,".",2.58866,4.75369,1.60113,"Promoter (<=1kb)",1,34579657,34590944,11288,1,"211383","ENSMUST00000052670.10",0,"ENSMUSG00000045174","Amer3","APC membrane recruitment 3"
"chr1",34750611,34751183,573,"*","SRR11392448_bam_peak_57",24,".",3.09342,5.91417,2.43902,"Promoter (<=1kb)",1,34750581,34807144,56564,1,"226970","ENSMUST00000159021.8",30,"ENSMUSG00000037509","Arhgef4","Rho guanine nucleotide exchange factor 4"
"chr1",34842640,34843465,826,"*","SRR11392448_bam_peak_58",16,".",2.42156,4.88214,1.69479,"Promoter (<=1kb)",1,34813219,34843050,29832,2,"214469","ENSMUST00000167518.7",0,"ENSMUSG00000037503","Fam168b","family with sequence similarity 168, member B"
"chr1",34849758,34850188,431,"*","SRR11392448_bam_peak_59",15,".",2.44778,4.70961,1.56861,"Promoter (<=1kb)",1,34849976,34873956,23981,1,"226971","ENSMUST00000156687.7",0,"ENSMUSG00000026123","Plekhb2","pleckstrin homology domain containing, family B (evectins) member 2"
"chr1",36069167,36069509,343,"*","SRR11392448_bam_peak_60",16,".",2.3288,4.88619,1.69576,"Promoter (<=1kb)",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",767,"ENSMUSG00000045216","Hs6st1","heparan sulfate 6-O-sulfotransferase 1"
"chr1",36243701,36244617,917,"*","SRR11392448_bam_peak_61",25,".",2.75137,6.08273,2.55864,"Promoter (<=1kb)",1,36140027,36244305,104279,2,"320011","ENSMUST00000046875.13",0,"ENSMUSG00000037470","Uggt1","UDP-glucose glycoprotein glucosyltransferase 1"
"chr1",36368568,36369074,507,"*","SRR11392448_bam_peak_62",19,".",2.45712,5.2102,1.92955,"Promoter (<=1kb)",1,36367966,36369102,1137,2,"226976","ENSMUST00000188957.1",28,"ENSMUSG00000010453","Kansl3","KAT8 regulatory NSL complex subunit 3"
"chr1",36511579,36512124,546,"*","SRR11392448_bam_peak_63",30,".",2.81441,6.73913,3.03179,"Promoter (<=1kb)",1,36511867,36528237,16371,1,"94218","ENSMUST00000001166.13",0,"ENSMUSG00000001138","Cnnm3","cyclin M3"
"chr1",36546851,36547158,308,"*","SRR11392448_bam_peak_64",19,".",2.35637,5.20463,1.92485,"Promoter (<=1kb)",1,36537507,36547219,9713,2,"109346","ENSMUST00000207843.1",61,"ENSMUSG00000079610","Ankrd39","ankyrin repeat domain 39"
"chr1",36556231,36556860,630,"*","SRR11392448_bam_peak_65",17,".",2.33369,5.00035,1.77942,"Promoter (<=1kb)",1,36548642,36557526,8885,2,"20353","ENSMUST00000191642.5",666,"ENSMUSG00000026121","Sema4c","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
"chr1",36557459,36557838,380,"*","SRR11392448_bam_peak_66",21,".",2.298,5.51603,2.15146,"Promoter (<=1kb)",1,36548642,36557526,8885,2,"20353","ENSMUST00000191642.5",0,"ENSMUSG00000026121","Sema4c","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
"chr1",36691722,36692269,548,"*","SRR11392448_bam_peak_67",16,".",2.44933,4.81337,1.6446,"Promoter (<=1kb)",1,36691644,36693385,1742,1,"12859","ENSMUST00000193235.1",78,"ENSMUSG00000061518","Cox5b","cytochrome c oxidase subunit 5B"
"chr1",36709349,36709860,512,"*","SRR11392448_bam_peak_68",23,".",2.57703,5.80794,2.36219,"Promoter (<=1kb)",1,36701763,36709678,7916,2,"226977","ENSMUST00000159448.7",0,"ENSMUSG00000037351","Actr1b","ARP1 actin-related protein 1B, centractin beta"
"chr1",36939672,36940211,540,"*","SRR11392448_bam_peak_69",28,".",2.66497,6.43375,2.81227,"Promoter (<=1kb)",1,36792194,36939822,147629,2,"56030","ENSMUST00000194563.5",0,"ENSMUSG00000026116","Tmem131","transmembrane protein 131"
"chr1",37028986,37029256,271,"*","SRR11392448_bam_peak_70",23,".",2.97973,5.80149,2.3577,"Promoter (<=1kb)",1,37029304,37063649,34346,1,"70853","ENSMUST00000124404.7",-48,"ENSMUSG00000050122","Vwa3b","von Willebrand factor A domain containing 3B"
"chr1",37300088,37300492,405,"*","SRR11392448_bam_peak_71",14,".",2.27205,4.55946,1.46044,"Promoter (<=1kb)",1,37300308,37408289,107982,1,"269180","ENSMUST00000132401.7",0,"ENSMUSG00000026113","Inpp4a","inositol polyphosphate-4-phosphatase, type I"
"chr1",37864405,37864765,361,"*","SRR11392448_bam_peak_72",22,".",2.41532,5.7087,2.2893,"Promoter (<=1kb)",1,37832403,37864836,32434,2,"211484","ENSMUST00000123082.7",71,"ENSMUSG00000060771","Tsga10","testis specific 10"
"chr1",37889997,37890200,204,"*","SRR11392448_bam_peak_73",19,".",2.51906,5.19325,1.91732,"Promoter (<=1kb)",1,37881929,37890276,8348,2,"69028","ENSMUST00000138806.1",76,"ENSMUSG00000026088","Mitd1","MIT, microtubule interacting and transport, domain containing 1"
"chr1",37890718,37890946,229,"*","SRR11392448_bam_peak_74",16,".",2.60253,4.80912,1.64036,"Promoter (<=1kb)",1,37890543,37893984,3442,1,"107734","ENSMUST00000160082.2",175,"ENSMUSG00000026087","Mrpl30","mitochondrial ribosomal protein L30"
"chr1",37996677,37997192,516,"*","SRR11392448_bam_peak_75",26,".",2.75706,6.22438,2.65957,"Promoter (<=1kb)",1,37990258,37996658,6401,2,"98258","ENSMUST00000192237.1",-19,"ENSMUSG00000058407","Txndc9","thioredoxin domain containing 9"
"chr1",38626459,38627286,828,"*","SRR11392448_bam_peak_76",17,".",2.50778,4.95566,1.74661,"Promoter (<=1kb)",1,38177326,38627185,449860,2,"16764","ENSMUST00000095027.8",0,"ENSMUSG00000037138","Aff3","AF4/FMR2 family, member 3"
"chr1",38897259,38898153,895,"*","SRR11392448_bam_peak_77",30,".",2.85794,6.69395,3.00649,"Promoter (<=1kb)",1,38863867,38898010,34144,2,"98388","ENSMUST00000027249.11",0,"ENSMUSG00000026080","Chst10","carbohydrate sulfotransferase 10"
"chr1",38987834,38988188,355,"*","SRR11392448_bam_peak_78",19,".",2.30821,5.30293,1.99725,"Promoter (<=1kb)",1,38987841,38994917,7077,1,"68833","ENSMUST00000193489.1",0,"ENSMUSG00000026078","Pdcl3","phosducin-like 3"
"chr1",39193787,39194387,601,"*","SRR11392448_bam_peak_79",17,".",2.41605,4.96744,1.75538,"Promoter (<=1kb)",1,39194212,39363236,169025,1,"18143","ENSMUST00000056815.8",0,"ENSMUSG00000026077","Npas2","neuronal PAS domain protein 2"
"chr1",39367579,39368330,752,"*","SRR11392448_bam_peak_80",17,".",2.43721,4.9813,1.76443,"Promoter (<=1kb)",1,39367842,39371911,4070,1,"114641","ENSMUST00000086535.11",0,"ENSMUSG00000073702","Rpl31","ribosomal protein L31"
"chr1",39368775,39369016,242,"*","SRR11392448_bam_peak_81",14,".",2.61801,4.57378,1.47144,"Promoter (<=1kb)",1,39368149,39371366,3218,1,"114641","ENSMUST00000195123.5",626,"ENSMUSG00000073702","Rpl31","ribosomal protein L31"
"chr1",39478124,39479014,891,"*","SRR11392448_bam_peak_82",16,".",2.25484,4.8135,1.64405,"Promoter (<=1kb)",1,39371492,39478755,107264,2,"54610","ENSMUST00000054462.10",0,"ENSMUSG00000003134","Tbc1d8","TBC1 domain family, member 8"
"chr1",39535499,39536345,847,"*","SRR11392448_bam_peak_83",15,".",2.34814,4.73636,1.58886,"Promoter (<=1kb)",1,39535802,39546873,11072,1,"52846","ENSMUST00000003219.13",0,"ENSMUSG00000003135","Cnot11","CCR4-NOT transcription complex, subunit 11"
"chr1",39650683,39651065,383,"*","SRR11392448_bam_peak_84",13,".",2.18706,4.37669,1.33017,"Promoter (<=1kb)",1,39618406,39651474,33069,2,"263764","ENSMUST00000053355.5",409,"ENSMUSG00000050967","Creg2","cellular repressor of E1A-stimulated genes 2"
"chr1",39720963,39721162,200,"*","SRR11392448_bam_peak_85",34,".",3.47879,7.30356,3.44013,"Promoter (<=1kb)",1,39665301,39720997,55697,2,"619289","ENSMUST00000151913.2",0,"ENSMUSG00000057173","Rfx8","regulatory factor X 8"
"chr1",39901068,39901613,546,"*","SRR11392448_bam_peak_86",25,".",2.56985,6.12834,2.59218,"Promoter (<=1kb)",1,39901170,39902456,1287,1,"26921","ENSMUST00000193661.1",0,"ENSMUSG00000026074","Map4k4","mitogen-activated protein kinase kinase kinase kinase 4"
"chr1",40790237,40791106,870,"*","SRR11392448_bam_peak_87",23,".",2.65488,5.83002,2.37685,"Promoter (<=1kb)",1,40772038,40790663,18626,2,"211798","ENSMUST00000039672.5",0,"ENSMUSG00000041945","Mfsd9","major facilitator superfamily domain containing 9"
"chr1",42684468,42684829,362,"*","SRR11392448_bam_peak_88",14,".",2.42505,4.47647,1.40153,"Intron (ENSMUST00000181660.7/66297, intron 1 of 3)",1,42648201,42693093,44893,2,"66297","ENSMUST00000186656.6",8264,NA,"Pantr1","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1"
"chr1",42693386,42693688,303,"*","SRR11392448_bam_peak_89",20,".",2.86112,5.31282,2.00498,"Promoter (<=1kb)",1,42648200,42693153,44954,2,"66297","ENSMUST00000181593.7",-233,NA,"Pantr1","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1"
"chr1",42695845,42696841,997,"*","SRR11392448_bam_peak_90",19,".",2.5561,5.27449,1.97612,"Promoter (<=1kb)",1,42695768,42703176,7409,1,"18993","ENSMUST00000054883.3",77,"ENSMUSG00000045515","Pou3f3","POU domain, class 3, transcription factor 3"
"chr1",42697437,42698508,1072,"*","SRR11392448_bam_peak_91",15,".",2.62167,4.65153,1.52741,"Promoter (1-2kb)",1,42695768,42703176,7409,1,"18993","ENSMUST00000054883.3",1669,"ENSMUSG00000045515","Pou3f3","POU domain, class 3, transcription factor 3"
"chr1",42699118,42699658,541,"*","SRR11392448_bam_peak_92",15,".",2.68942,4.67961,1.548,"3' UTR",1,42695768,42703176,7409,1,"18993","ENSMUST00000054883.3",3350,"ENSMUSG00000045515","Pou3f3","POU domain, class 3, transcription factor 3"
"chr1",42713266,42713796,531,"*","SRR11392448_bam_peak_93",18,".",2.44058,5.12439,1.86801,"Promoter (<=1kb)",1,42707061,42713454,6394,2,"66620","ENSMUST00000180589.1",0,NA,"Pantr2","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2"
"chr1",42851358,42851628,271,"*","SRR11392448_bam_peak_94",25,".",2.39128,6.12512,2.59082,"Promoter (<=1kb)",1,42851285,42881931,30647,1,"69527","ENSMUST00000188174.6",73,"ENSMUSG00000060679","Mrps9","mitochondrial ribosomal protein S9"
"chr1",42952909,42953502,594,"*","SRR11392448_bam_peak_95",20,".",2.57945,5.38423,2.05575,"Promoter (<=1kb)",1,42952963,43035456,82494,1,"93690","ENSMUST00000179766.2",0,"ENSMUSG00000041907","Gpr45","G protein-coupled receptor 45"
"chr1",43092180,43092933,754,"*","SRR11392448_bam_peak_96",19,".",2.36117,5.235,1.94849,"Promoter (<=1kb)",1,43047220,43092729,45510,2,"73122","ENSMUST00000186694.6",0,"ENSMUSG00000070939","Tgfbrap1","transforming growth factor, beta receptor associated protein 1"
"chr1",43098141,43099292,1152,"*","SRR11392448_bam_peak_97",24,".",2.533,5.96805,2.47626,"Promoter (<=1kb)",1,43047200,43098622,51423,2,"73122","ENSMUST00000095014.7",0,"ENSMUSG00000070939","Tgfbrap1","transforming growth factor, beta receptor associated protein 1"
"chr1",43163213,43163576,364,"*","SRR11392448_bam_peak_98",26,".",2.92606,6.2744,2.69717,"Promoter (<=1kb)",1,43123074,43163961,40888,2,"14200","ENSMUST00000008280.13",385,"ENSMUSG00000008136","Fhl2","four and a half LIM domains 2"
"chr1",43446784,43447051,268,"*","SRR11392448_bam_peak_99",18,".",2.60565,5.11989,1.86456,"Promoter (1-2kb)",1,43445751,43570515,124765,1,"17974","ENSMUST00000086421.8",1033,"ENSMUSG00000066877","Nck2","non-catalytic region of tyrosine kinase adaptor protein 2"
"chr1",43827054,43828287,1234,"*","SRR11392448_bam_peak_100",17,".",2.42579,4.99641,1.7753,"Promoter (<=1kb)",1,43746966,43827800,80835,2,"67883","ENSMUST00000126008.7",0,"ENSMUSG00000057363","Uxs1","UDP-glucuronate decarboxylase 1"
